NAME                                   VERSION                             TYPE                       
@ampproject/remapping                  2.3.0                               npm                         
@babel/code-frame                      7.26.2                              npm                         
@babel/generator                       7.27.0                              npm                         
@babel/helper-string-parser            7.25.9                              npm                         
@babel/helper-validator-identifier     7.25.9                              npm                         
@babel/parser                          7.27.0                              npm                         
@babel/runtime                         7.27.0                              npm                         
@babel/template                        7.27.0                              npm                         
@babel/traverse                        7.27.0                              npm                         
@babel/types                           7.27.0                              npm                         
@bcoe/v8-coverage                      1.0.2                               npm                         
@colors/colors                         1.6.0                               npm                         
@dabh/diagnostics                      2.0.3                               npm                         
@eslint-community/eslint-utils         4.5.1                               npm                         
@eslint-community/regexpp              4.12.1                              npm                         
@eslint/config-array                   0.19.2                              npm                         
@eslint/config-helpers                 0.2.0                               npm                         
@eslint/core                           0.12.0                              npm                         
@eslint/eslintrc                       3.3.1                               npm                         
@eslint/js                             9.23.0                              npm                         
@eslint/object-schema                  2.1.6                               npm                         
@eslint/plugin-kit                     0.2.7                               npm                         
@humanfs/core                          0.19.1                              npm                         
@humanfs/node                          0.16.6                              npm                         
@humanwhocodes/module-importer         1.0.1                               npm                         
@humanwhocodes/retry                   0.3.1                               npm                         
@humanwhocodes/retry                   0.4.2                               npm                         
@ianvs/prettier-plugin-sort-imports    4.4.1                               npm                         
@isaacs/cliui                          8.0.2                               npm        (+1 duplicate)   
@isaacs/fs-minipass                    4.0.1                               npm                         
@istanbuljs/schema                     0.1.3                               npm                         
@jridgewell/gen-mapping                0.3.8                               npm                         
@jridgewell/resolve-uri                3.1.2                               npm                         
@jridgewell/set-array                  1.2.1                               npm                         
@jridgewell/sourcemap-codec            1.5.0                               npm                         
@jridgewell/trace-mapping              0.3.25                              npm                         
@leichtgewicht/ip-codec                2.0.5                               npm                         
@nodelib/fs.scandir                    2.1.5                               npm                         
@nodelib/fs.stat                       2.0.5                               npm                         
@nodelib/fs.walk                       1.2.8                               npm                         
@npmcli/agent                          3.0.0                               npm                         
@npmcli/fs                             4.0.0                               npm                         
@pkgjs/parseargs                       0.11.0                              npm                         
@serialport/bindings-cpp               13.0.1                              npm                         
@serialport/bindings-interface         1.2.2                               npm                         
@serialport/parser-delimiter           13.0.0                              npm                         
@serialport/parser-readline            13.0.0                              npm                         
@serialport/stream                     13.0.0                              npm                         
@types/estree                          1.0.7                               npm                         
@types/finalhandler                    1.2.3                               npm                         
@types/http-errors                     2.0.4                               npm                         
@types/humanize-duration               3.27.4                              npm                         
@types/js-yaml                         4.0.9                               npm                         
@types/json-schema                     7.0.15                              npm                         
@types/mime                            1.3.5                               npm                         
@types/node                            22.13.14                            npm                         
@types/object-assign-deep              0.4.3                               npm                         
@types/readable-stream                 4.0.18                              npm                         
@types/send                            0.17.4                              npm                         
@types/serve-static                    1.15.7                              npm                         
@types/triple-beam                     1.3.5                               npm                         
@types/ws                              8.18.0                              npm                         
@typescript-eslint/eslint-plugin       8.28.0                              npm                         
@typescript-eslint/parser              8.28.0                              npm                         
@typescript-eslint/scope-manager       8.28.0                              npm                         
@typescript-eslint/type-utils          8.28.0                              npm                         
@typescript-eslint/types               8.28.0                              npm                         
@typescript-eslint/typescript-estree   8.28.0                              npm                         
@typescript-eslint/utils               8.28.0                              npm                         
@typescript-eslint/visitor-keys        8.28.0                              npm                         
@vitest/coverage-v8                    3.0.9                               npm                         
@vitest/expect                         3.0.9                               npm                         
@vitest/mocker                         3.0.9                               npm                         
@vitest/pretty-format                  3.0.9                               npm                         
@vitest/runner                         3.0.9                               npm                         
@vitest/snapshot                       3.0.9                               npm                         
@vitest/spy                            3.0.9                               npm                         
@vitest/utils                          3.0.9                               npm                         
abbrev                                 3.0.0                               npm                         
abort-controller                       3.0.0                               npm                         
acl-libs                               2.3.2-r1                            apk                         
acorn                                  8.14.1                              npm                         
acorn-jsx                              5.3.2                               npm                         
ada-libs                               2.9.2-r3                            apk                         
agent-base                             7.1.3                               npm                         
ajv                                    6.12.6                              npm                         
ajv                                    8.17.1                              npm                         
alpine-baselayout                      3.7.0-r0                            apk                         
alpine-baselayout-data                 3.7.0-r0                            apk                         
alpine-keys                            2.5-r0                              apk                         
ansi-regex                             5.0.1                               npm        (+3 duplicates)  
ansi-regex                             6.1.0                               npm        (+1 duplicate)   
ansi-styles                            4.3.0                               npm        (+1 duplicate)   
ansi-styles                            6.2.1                               npm        (+1 duplicate)   
apk-tools                              2.14.9-r1                           apk                         
argparse                               2.0.1                               npm                         
assertion-error                        2.0.1                               npm                         
async                                  3.2.6                               npm                         
balanced-match                         1.0.2                               npm        (+1 duplicate)   
base64-js                              1.5.1                               npm                         
bash                                   5.2.37-r0                           apk                         
bind-decorator                         1.0.11                              npm                         
bl                                     6.1.0                               npm                         
bonjour-service                        1.3.0                               npm                         
brace-expansion                        1.1.11                              npm                         
brace-expansion                        2.0.1                               npm        (+1 duplicate)   
braces                                 3.0.3                               npm                         
brotli-libs                            1.1.0-r2                            apk                         
buffer                                 6.0.3                               npm                         
buffer-crc32                           1.0.0                               npm                         
buffer-from                            1.1.2                               npm                         
busybox                                1.37.0-r14                          apk                         
busybox-binsh                          1.37.0-r14                          apk                         
c-ares                                 1.34.4-r0                           apk                         
ca-certificates                        20241121-r2                         apk                         
ca-certificates-bundle                 20241121-r2                         apk                         
cac                                    6.7.14                              npm                         
cacache                                19.0.1                              npm                         
callsites                              3.1.0                               npm                         
catatonit                              0.2.1-r0                            apk                         
chai                                   5.2.0                               npm                         
chalk                                  4.1.2                               npm                         
check-error                            2.1.1                               npm                         
chownr                                 3.0.0                               npm                         
color                                  3.2.1                               npm                         
color-convert                          1.9.3                               npm                         
color-convert                          2.0.1                               npm        (+1 duplicate)   
color-name                             1.1.3                               npm                         
color-name                             1.1.4                               npm        (+1 duplicate)   
color-string                           1.9.1                               npm                         
colorspace                             1.1.4                               npm                         
commist                                3.2.0                               npm                         
concat-map                             0.0.1                               npm                         
concat-stream                          2.0.0                               npm                         
core-util-is                           1.0.3                               npm                         
coreutils                              9.6-r2                              apk                         
coreutils-env                          9.6-r2                              apk                         
coreutils-fmt                          9.6-r2                              apk                         
coreutils-sha512sum                    9.6-r2                              apk                         
cross-spawn                            7.0.6                               npm        (+1 duplicate)   
curl                                   8.12.1-r1                           apk                         
debounce                               2.2.0                               npm                         
debug                                  2.6.9                               npm                         
debug                                  4.4.0                               npm        (+1 duplicate)   
deep-eql                               5.0.2                               npm                         
deep-is                                0.1.4                               npm                         
depd                                   2.0.0                               npm                         
destroy                                1.2.0                               npm                         
dns-packet                             5.6.1                               npm                         
eastasianwidth                         0.2.0                               npm        (+1 duplicate)   
ee-first                               1.1.1                               npm                         
emoji-regex                            8.0.0                               npm        (+2 duplicates)  
emoji-regex                            9.2.2                               npm        (+1 duplicate)   
enabled                                2.0.0                               npm                         
encodeurl                              1.0.2                               npm                         
encodeurl                              2.0.0                               npm                         
encoding                               0.1.13                              npm                         
env-paths                              2.2.1                               npm                         
err-code                               2.0.3                               npm                         
es-module-lexer                        1.6.0                               npm                         
esbuild                                0.25.1                              npm                         
escape-html                            1.0.3                               npm                         
escape-string-regexp                   4.0.0                               npm                         
eslint                                 9.23.0                              npm                         
eslint-config-prettier                 10.1.1                              npm                         
eslint-scope                           8.3.0                               npm                         
eslint-visitor-keys                    3.4.3                               npm                         
eslint-visitor-keys                    4.2.0                               npm                         
espree                                 10.3.0                              npm                         
esquery                                1.6.0                               npm                         
esrecurse                              4.3.0                               npm                         
estraverse                             5.3.0                               npm                         
estree-walker                          3.0.3                               npm                         
esutils                                2.0.3                               npm                         
etag                                   1.8.1                               npm                         
event-target-shim                      5.0.1                               npm                         
